id,price,speed,hd,ram,screen,cores,cd,laptop,trend
1,733,20,24,2,13,6,no,yes,1
2,4071,31,3,52,19,14,no,no,2
3,1645,22,24,6,21,8,no,no,2
4,1634,15,24,6,21,4,no,no,1
5,1733,20,20,6,19,10,no,no,2
6,2693,17,12,10,17,14,no,no,2
7,882,20,16,14,12,6,no,yes,1
8,3970,36,1,16,19,20,no,no,4
9,3944,39,1,24,15,28,yes,no,5
10,1760,22,16,14,15,6,yes,no,1
11,1869,22,16,14,21,10,no,no,1
12,2238,21,24,10,17,20,no,no,4
13,3578,34,3,52,19,18,no,no,5
14,987,20,8,6,11,6,no,yes,1
15,3964,30,1,52,15,16,yes,no,2
16,3117,38,3,24,21,18,no,no,5
17,2686,17,28,14,23,20,no,no,5
18,889,15,8,2,13,8,no,yes,2
19,2968,24,8,10,19,28,yes,no,4
20,2911,19,20,10,15,22,no,no,5
21,875,17,20,10,12,8,no,yes,2
22,2451,16,20,14,17,12,no,no,2
23,3494,31,7,32,17,22,no,no,4
24,1162,18,16,2,12,8,no,yes,1
25,1088,15,8,6,13,4,yes,no,2
26,698,16,12,6,11,4,no,yes,1
27,1233,18,12,2,23,4,no,no,1
28,2322,17,24,2,23,20,no,no,4
29,3016,38,1,16,19,30,yes,no,4
30,3484,39,1,56,17,18,yes,no,4
31,1742,19,24,6,15,6,no,no,2
32,3320,32,5,44,21,12,yes,no,2
33,3961,39,5,40,23,14,no,no,2
34,3055,32,3,48,21,30,no,no,4
35,4230,39,7,52,15,28,no,no,5
36,3243,37,5,20,15,28,no,no,4
37,1995,23,20,14,23,6,no,no,1
38,2064,19,24,6,23,30,yes,no,5
39,1355,17,28,6,17,10,no,no,2
40,3929,38,7,52,21,16,no,no,1
41,584,22,12,14,11,4,yes,no,2
42,2049,15,16,6,23,12,no,no,2
43,1189,20,8,2,13,6,no,yes,2
44,2617,20,12,2,15,12,no,no,1
45,1762,21,24,10,15,8,no,no,2
46,3547,39,7,24,23,24,no,no,4
47,2263,21,8,6,17,26,no,no,4
48,3148,36,1,36,19,26,yes,no,5
49,1957,21,20,6,19,8,no,no,2
50,740,23,16,14,13,10,yes,no,2
51,2024,23,20,10,19,26,yes,no,5
52,2963,23,20,6,15,30,no,no,5
53,4131,34,5,32,21,16,no,no,1
54,4031,30,1,28,17,16,no,no,1
55,2021,18,12,10,17,26,no,no,5
56,3811,35,3,52,15,20,no,no,5
57,1729,17,20,10,15,6,no,no,1
58,3890,37,5,32,17,12,no,no,1
59,3524,35,5,32,17,28,yes,no,4
60,1277,23,8,14,19,4,no,no,2
61,3612,30,7,52,17,26,yes,no,5
62,541,17,8,2,12,10,no,yes,1
63,1847,18,16,6,19,4,no,no,2
64,2254,17,28,6,17,30,no,no,5
65,3640,30,7,36,17,28,yes,no,4
66,1417,15,28,2,23,4,no,no,1
67,1428,21,24,10,15,6,yes,no,2
68,1819,15,24,6,21,6,no,no,1
69,3891,32,5,60,19,16,no,no,2
70,855,15,8,10,12,10,no,yes,1
71,2828,17,28,14,19,24,yes,no,4
72,2383,20,28,14,19,16,no,no,2
73,2961,22,16,14,17,16,no,no,2
74,3165,35,1,32,19,26,no,no,4
75,3139,38,7,24,17,26,no,no,5
76,3161,35,5,60,15,16,no,no,1
77,3233,37,1,36,15,20,no,no,4
78,3533,30,3,24,23,16,no,no,2
79,2195,17,28,6,21,30,no,no,5
80,2413,23,12,10,19,12,no,no,2
81,2285,22,28,6,17,12,no,no,1
82,1789,15,24,14,15,8,no,no,2
83,4209,30,5,48,21,20,no,no,5
84,2384,21,16,6,21,14,yes,no,2
85,3249,36,5,40,17,12,no,no,2
86,2777,17,16,14,19,22,no,no,5
87,4189,34,1,28,23,14,no,no,2
88,916,21,24,2,12,4,yes,no,2
89,4097,39,1,16,21,20,no,no,5
90,1849,18,12,2,21,10,no,no,1
91,2023,16,24,10,17,18,no,no,4
92,1980,17,16,10,19,4,yes,no,1
93,1913,20,16,2,23,6,no,no,1
94,4085,35,5,20,19,12,no,no,1
95,4349,39,7,60,19,16,no,no,2
96,580,15,8,2,13,8,yes,no,1
97,1464,22,12,14,17,6,yes,no,1
98,3284,33,5,24,17,28,yes,no,4
99,2984,19,28,10,21,18,yes,no,4
100,2910,22,8,10,17,20,no,no,4
101,2046,17,16,6,23,20,no,no,5
102,644,23,12,6,12,10,yes,no,2
103,973,24,8,10,11,8,no,yes,1
104,3220,32,1,20,17,20,yes,no,5
105,3913,38,3,36,17,28,no,no,5
106,2218,24,24,2,21,16,no,no,2
107,2401,23,12,10,15,16,no,no,1
108,1574,22,24,6,17,10,no,no,2
109,3449,37,1,36,23,30,no,no,5
110,3967,30,5,56,19,28,no,no,5
111,1548,20,20,14,21,6,yes,no,1
112,3945,31,1,52,21,26,no,no,5
113,4051,36,5,40,19,12,no,no,2
114,2806,16,16,14,19,22,no,no,4
115,989,24,8,6,13,8,no,yes,2
116,3135,35,3,44,21,12,no,no,2
117,2739,23,28,2,15,12,no,no,1
118,1550,20,20,10,17,10,no,no,1
119,1714,20,12,14,17,4,no,no,1
120,1595,21,12,10,17,6,no,no,2
121,2908,20,24,14,21,20,yes,no,4
122,2759,22,28,10,19,28,no,no,5
123,2837,22,16,14,17,14,no,no,1
124,649,17,20,14,13,4,no,yes,1
125,3991,38,1,60,15,26,no,no,5
126,2042,17,16,2,21,28,no,no,4
127,2065,23,20,6,15,16,no,no,1
128,2240,15,20,14,15,22,yes,no,5
129,1200,19,28,10,19,10,yes,no,2
130,4189,30,7,52,19,28,no,no,5
131,3089,30,1,16,21,28,no,no,5
132,2084,21,12,10,23,16,yes,no,1
133,1169,19,24,2,12,10,no,yes,1
134,2476,17,16,14,23,18,yes,no,5
135,1394,22,24,14,19,6,no,no,2
136,1167,16,12,10,12,6,no,yes,1
137,2440,21,20,10,23,30,yes,no,4
138,2240,23,8,2,21,18,yes,no,5
139,2145,17,24,10,15,12,no,no,1
140,2252,20,8,10,21,16,yes,no,2
141,3263,34,5,44,23,22,no,no,4
142,3182,33,3,56,15,18,no,no,5
143,3314,35,3,40,15,24,no,no,5
144,3859,38,1,52,19,16,no,no,2
145,2867,18,28,2,17,26,no,no,5
146,1502,18,12,14,21,10,no,no,1
147,1494,21,16,14,17,6,no,no,1
148,2797,24,28,10,17,12,no,no,2
149,3945,39,1,28,15,24,no,no,5
150,3031,38,3,56,17,22,no,no,4
151,2503,19,16,2,15,16,no,no,2
152,4096,30,7,60,19,22,yes,no,4
153,4220,35,5,60,17,18,yes,no,5
154,1848,20,20,10,17,4,yes,no,2
155,3684,37,1,48,17,20,yes,no,4
